GRE_Score,TOEFL_Score,University_Rating,SOP,LOR,CGPA,Research,Chance_of_Admit,Admitted,Year,Stream,Cluster
294,115,5,4.5,2.0,6.14,1,0.48,0,2021,DS,Mid Profile
329,113,1,4.0,4.5,8.73,0,0.64,0,2018,DS,Low Profile
323,108,2,5.0,1.0,9.8,1,0.95,1,2018,CE,Mid Profile
312,117,3,5.0,3.0,9.32,1,0.97,1,2018,EE,Mid Profile
312,95,4,4.0,4.5,7.11,0,0.53,0,2023,ME,Low Profile
333,118,1,2.5,5.0,6.21,0,0.42,0,2023,DS,Low Profile
294,116,3,3.5,2.0,9.76,1,0.75,1,2018,DS,Mid Profile
325,106,1,2.5,3.5,9.75,1,0.85,1,2018,ME,Mid Profile
300,113,4,3.5,1.5,8.13,1,0.7,1,2023,DS,Mid Profile
294,107,4,4.5,1.5,8.57,1,0.72,1,2021,EE,Mid Profile
316,99,3,2.5,2.5,7.85,0,0.64,0,2020,ME,High Profile
339,115,2,3.0,4.5,7.68,1,0.71,1,2022,DS,Mid Profile
327,99,1,1.0,4.0,6.48,1,0.56,0,2019,EE,Mid Profile
328,101,5,4.0,3.0,6.39,0,0.49,0,2019,CE,High Profile
326,107,4,3.0,2.0,6.93,0,0.5,0,2020,ME,High Profile
330,116,2,3.0,1.5,9.35,1,0.88,1,2024,EE,Mid Profile
316,103,3,3.0,2.0,6.58,1,0.56,0,2023,EE,Mid Profile
296,106,4,1.5,1.5,6.91,1,0.64,0,2019,CE,Mid Profile
332,93,4,3.5,1.5,8.19,0,0.71,1,2021,ME,High Profile
312,95,3,4.0,4.0,6.86,0,0.45,0,2024,EE,Low Profile
315,93,2,2.5,1.5,6.65,1,0.47,0,2024,CE,Mid Profile
308,94,4,1.5,1.0,8.25,1,0.67,1,2023,CS,Mid Profile
299,117,4,2.5,3.0,7.47,1,0.6,0,2018,CS,Mid Profile
337,116,3,1.5,2.0,8.5,1,0.81,1,2019,DS,Mid Profile
329,115,1,2.5,3.0,9.65,0,0.83,1,2019,CE,Low Profile
322,93,3,3.5,1.5,6.6,1,0.62,0,2019,ME,Mid Profile
310,94,4,1.5,1.5,9.65,0,0.81,1,2019,CS,High Profile
331,100,5,4.0,2.5,9.61,1,0.88,1,2020,ME,Mid Profile
317,108,3,2.0,4.0,9.32,0,0.84,1,2021,ME,Low Profile
312,101,2,5.0,2.5,8.53,1,0.76,1,2020,ME,Mid Profile
312,106,3,4.0,3.0,8.48,1,0.75,1,2020,CS,Mid Profile
301,97,1,2.0,3.0,8.56,1,0.81,1,2019,ME,Mid Profile
294,113,1,3.5,2.0,8.76,1,0.77,1,2019,ME,Mid Profile
318,101,4,1.0,2.0,6.07,1,0.5,0,2024,EE,Mid Profile
335,93,5,1.0,2.5,9.83,1,0.83,1,2022,CS,Mid Profile
293,113,5,5.0,1.0,8.34,0,0.73,1,2019,DS,High Profile
333,118,3,4.5,4.0,9.13,0,0.84,1,2023,CE,Low Profile
332,92,1,1.5,3.5,7.51,1,0.63,0,2023,CE,Mid Profile
304,104,5,2.0,2.0,6.05,1,0.59,0,2024,CE,Mid Profile
322,115,3,1.5,2.5,8.04,1,0.61,0,2019,CE,Mid Profile
298,112,2,2.5,2.0,8.03,1,0.7,1,2022,CS,Mid Profile
328,116,5,2.0,3.5,7.75,1,0.7,1,2024,ME,Mid Profile
325,104,4,2.0,4.0,7.36,1,0.61,0,2023,DS,Mid Profile
308,102,4,3.0,1.0,7.0,1,0.73,1,2019,EE,Mid Profile
293,112,2,1.5,2.5,8.11,1,0.7,1,2024,DS,Mid Profile
339,96,5,4.5,1.0,7.5,0,0.59,0,2020,CS,High Profile
312,98,3,4.0,3.0,9.88,1,0.87,1,2021,EE,Mid Profile
335,109,3,4.0,2.0,6.69,0,0.43,0,2021,EE,High Profile
324,111,4,1.5,2.5,7.28,1,0.61,0,2023,CE,Mid Profile
329,95,4,4.0,3.0,7.18,1,0.68,1,2018,CS,Mid Profile
328,106,1,4.5,2.0,8.17,1,0.68,1,2021,EE,Mid Profile
299,102,2,1.5,2.5,8.0,0,0.58,0,2023,CE,High Profile
308,106,2,4.0,4.0,8.57,1,0.82,1,2021,EE,Mid Profile
313,119,5,2.5,4.5,9.8,0,0.92,1,2019,DS,Low Profile
315,94,4,4.5,1.0,7.14,1,0.64,0,2018,DS,Mid Profile
292,120,2,3.0,2.5,8.77,0,0.7,1,2021,EE,High Profile
317,105,4,4.5,4.5,6.1,0,0.46,0,2022,ME,Low Profile
297,114,4,1.5,3.0,7.05,1,0.57,0,2021,EE,Mid Profile
327,104,2,2.5,1.5,7.85,1,0.63,0,2024,EE,Mid Profile
324,101,3,2.0,3.5,6.12,0,0.41,0,2022,CE,Low Profile
337,114,5,2.0,1.5,8.47,0,0.69,1,2021,EE,High Profile
327,111,3,2.0,1.0,8.71,0,0.67,1,2018,CS,High Profile
308,96,1,2.5,3.5,8.99,1,0.68,1,2021,EE,Mid Profile
339,112,4,1.5,3.0,8.07,0,0.69,1,2019,DS,High Profile
310,113,3,4.0,4.0,8.42,0,0.71,1,2023,EE,Low Profile
306,103,3,3.0,2.5,7.58,0,0.69,1,2019,EE,High Profile
336,118,4,4.5,4.5,6.17,0,0.47,0,2024,CE,Low Profile
308,110,5,4.0,2.5,6.4,0,0.52,0,2020,CS,High Profile
293,101,2,1.5,4.0,8.62,1,0.76,1,2021,EE,Mid Profile
313,92,3,1.0,1.0,9.98,1,0.86,1,2019,CS,Mid Profile
330,111,1,2.5,1.0,6.06,0,0.5,0,2019,DS,High Profile
299,98,4,3.0,4.5,8.23,1,0.75,1,2024,DS,Mid Profile
313,113,3,2.0,4.5,9.0,1,0.82,1,2019,CE,Mid Profile
296,107,2,4.5,5.0,9.31,0,0.75,1,2021,EE,Low Profile
325,105,4,3.5,2.0,8.18,1,0.71,1,2024,CE,Mid Profile
314,96,3,4.0,1.0,8.48,1,0.66,1,2022,CE,Mid Profile
306,112,3,1.0,5.0,8.79,1,0.74,1,2018,DS,Mid Profile
301,96,3,4.5,3.5,9.44,0,0.73,1,2020,CS,Low Profile
318,104,2,1.5,2.0,6.49,0,0.44,0,2020,CE,High Profile
324,116,1,3.0,4.0,9.7,0,0.84,1,2019,CS,Low Profile
337,118,5,2.5,5.0,6.1,0,0.57,0,2019,ME,Low Profile
312,120,1,4.5,2.0,9.34,1,0.78,1,2021,DS,Mid Profile
298,119,2,2.0,4.0,6.31,1,0.56,0,2020,CS,Mid Profile
332,108,4,2.0,4.5,6.78,1,0.54,0,2020,CS,Mid Profile
322,97,1,2.5,3.0,6.02,1,0.48,0,2020,DS,Mid Profile
325,116,4,2.5,3.5,7.78,1,0.66,1,2020,CS,Mid Profile
294,115,4,1.5,2.0,7.34,0,0.62,0,2019,CE,High Profile
305,120,4,1.5,5.0,6.66,0,0.5,0,2021,ME,Low Profile
329,110,2,2.0,5.0,7.8,0,0.69,1,2024,EE,Low Profile
332,96,1,3.0,5.0,7.61,0,0.58,0,2021,DS,Low Profile
312,106,5,2.5,4.0,9.07,1,0.78,1,2022,DS,Mid Profile
331,104,2,2.5,1.0,9.57,0,0.73,1,2024,EE,High Profile
332,116,5,4.0,2.5,8.61,0,0.75,1,2022,CS,High Profile
309,103,1,2.0,3.0,6.5,0,0.54,0,2019,CS,Low Profile
335,101,1,5.0,5.0,7.18,1,0.63,0,2020,CS,Mid Profile
304,94,4,4.0,3.0,9.65,1,0.97,1,2021,DS,Mid Profile
302,116,5,1.5,3.0,6.35,0,0.58,0,2021,ME,High Profile
324,113,5,2.0,1.5,7.63,0,0.62,0,2019,CE,High Profile
322,93,4,1.5,4.5,9.77,0,0.79,1,2018,EE,Low Profile
297,104,2,2.0,2.5,9.8,1,0.88,1,2020,DS,Mid Profile
332,105,5,2.5,1.0,7.64,0,0.58,0,2024,CE,High Profile
300,105,4,1.5,5.0,8.67,1,0.83,1,2023,CE,Mid Profile
331,118,1,1.0,1.5,7.83,1,0.71,1,2023,ME,Mid Profile
290,96,1,2.5,1.0,9.01,1,0.78,1,2019,CE,Mid Profile
330,100,5,4.0,1.0,6.13,0,0.52,0,2020,ME,High Profile
330,97,2,2.0,3.0,6.58,0,0.6,0,2022,EE,Low Profile
329,99,4,4.5,1.0,8.46,0,0.7,1,2021,ME,High Profile
323,118,1,2.5,4.5,6.93,1,0.6,0,2020,EE,Mid Profile
314,119,2,5.0,3.0,8.66,0,0.8,1,2020,DS,Low Profile
325,93,2,2.0,2.0,7.4,0,0.63,0,2018,CE,High Profile
304,110,2,3.0,1.0,9.55,0,0.77,1,2024,CE,High Profile
329,98,4,4.0,3.0,9.28,1,0.83,1,2024,CE,Mid Profile
318,97,5,1.0,1.5,7.97,1,0.71,1,2018,ME,Mid Profile
313,100,5,5.0,5.0,9.09,0,0.77,1,2020,DS,Low Profile
315,97,4,2.5,2.0,7.08,1,0.53,0,2021,EE,Mid Profile
319,106,2,3.0,3.0,7.98,1,0.61,0,2023,ME,Mid Profile
291,120,5,3.5,1.0,6.79,1,0.55,0,2024,CS,Mid Profile
297,109,3,3.5,1.5,9.44,1,0.78,1,2020,EE,Mid Profile
